gender,income,credit_score,years_employed,loan_approved
1,55351,632,19,0
0,118668,792,13,0
0,45305,827,14,1
1,105353,626,13,1
1,106797,605,6,1
1,95953,591,16,1
1,87458,786,11,1
1,50358,550,19,1
1,33267,528,3,1
1,112745,795,8,1
1,119588,796,5,0
0,68513,713,15,1
1,56092,766,1,1
0,41338,756,7,1
1,30412,801,10,0
1,37543,600,12,1
0,63496,845,16,1
1,90692,609,7,1
0,119084,681,17,0
1,74425,812,17,1
1,68756,500,13,0
0,48888,818,14,0
1,65735,554,5,1
0,77295,648,10,1
1,113042,808,12,1
0,115999,636,0,1
0,47955,701,5,1
1,67841,812,8,1
1,100640,616,7,1
0,95510,653,10,0
1,64911,790,18,1
1,89031,562,8,1
1,118726,743,16,0
0,37357,524,11,1
0,62479,589,13,1
0,91476,574,14,0
0,74811,793,15,0
0,66208,709,19,1
0,50150,846,0,0
0,101180,516,9,0
0,73286,627,7,1
0,98450,750,17,0
1,51352,678,0,1
0,85069,681,1,0
1,44397,651,0,0
1,71555,524,0,1
1,76959,679,8,1
0,30728,697,12,0
0,80517,843,0,0
0,96234,660,12,0
0,69954,676,19,1
1,77280,784,6,1
0,109459,562,1,1
0,46779,649,5,0
0,93932,653,6,0
0,102936,655,13,0
0,54466,548,17,0
1,66939,836,14,0
0,99896,583,1,0
1,65270,676,9,0
0,89163,647,11,1
1,112637,617,16,1
0,81934,841,7,1
0,94895,562,10,1
1,62307,688,2,1
1,84098,548,5,0
1,90921,826,8,1
0,35486,756,5,0
1,38335,723,8,1
0,116900,640,6,1
0,119112,714,8,1
1,41130,710,17,0
1,117508,817,11,0
0,90566,531,7,0
0,96703,657,7,1
1,57192,784,17,1
1,31062,804,19,1
1,114076,785,14,1
0,119780,643,6,0
0,51545,518,10,1
0,51689,517,19,0
0,41174,756,15,1
0,118461,577,3,0
0,39348,674,5,0
1,53714,693,2,0
0,68102,612,8,0
0,104460,613,9,1
0,119930,721,13,0
1,36801,665,10,1
0,102267,818,17,0
0,78136,631,11,0
1,53625,763,11,1
0,112873,554,12,0
0,102592,630,12,1
0,107052,787,18,0
0,74261,765,18,0
0,31542,661,13,0
1,51677,586,3,1
1,76732,554,12,1
1,80343,787,7,1
0,69081,677,18,0
0,92856,848,11,1
0,118858,507,17,0
1,49065,820,5,1
0,113460,812,17,1
0,118092,746,18,1
1,84693,822,4,1
0,56962,754,8,0
1,58295,827,2,1
1,43807,553,9,1
1,72348,748,18,1
0,56432,738,2,1
0,113285,728,14,0
0,87854,566,0,1
0,70262,550,6,1
0,67080,596,11,0
0,31324,591,16,0
0,65909,763,19,1
1,119339,790,4,1
0,49870,595,3,1
1,64578,587,11,0
0,102124,577,19,0
0,56790,787,17,1
0,55289,619,16,1
1,85129,801,18,1
1,45485,664,8,0
1,74482,681,3,0
1,116188,722,1,1
0,34748,810,3,1
1,116769,506,1,1
0,39435,829,14,0
0,33709,762,1,1
1,60355,660,3,1
1,85771,650,5,1
1,87799,584,6,1
1,43116,646,9,1
1,55470,611,18,1
1,72344,535,18,1
1,72918,784,11,0
1,82224,687,2,1
0,69298,581,12,1
1,110219,501,17,1
1,91629,802,7,1
0,96040,696,14,0
1,58016,510,0,0
0,53960,733,2,0
0,63591,694,7,0
1,112848,618,3,1
0,97641,519,15,0
0,66395,760,9,0
0,52700,792,11,1
0,64620,755,13,1
1,50559,721,13,1
0,91642,725,1,0
1,106539,552,4,0
0,51732,841,4,0
0,60354,779,5,0
0,43843,580,12,0
0,101726,701,8,0
1,47640,657,14,0
1,82528,619,13,1
0,68413,558,6,1
0,82638,714,19,1
1,82736,627,1,0
0,98866,723,6,1
0,49087,708,5,1
0,71430,614,16,0
1,54504,708,1,1
1,37114,513,2,1
1,108859,508,4,0
0,40975,539,4,1
0,41023,736,0,0
1,51447,780,7,1
1,53959,700,11,0
1,96203,745,3,0
1,59703,777,12,1
0,39337,734,14,0
1,76427,503,10,0
0,91529,653,9,0
1,114665,528,2,1
0,61921,608,13,0
1,63307,597,15,1
1,57355,714,9,1
1,34835,792,9,0
1,50159,574,11,1
0,77605,825,8,1
1,68088,645,0,1
0,108752,627,4,1
0,85284,840,19,0
0,87043,541,7,1
0,65547,540,10,1
1,112844,533,11,1
0,57532,516,0,0
0,64349,664,19,1
0,75445,652,10,0
1,35713,575,4,1
1,86178,586,14,1
1,79407,616,4,1
1,100340,841,11,1
0,80990,526,4,0
0,105672,812,16,0
1,95545,786,16,1
0,114791,633,11,0
0,88141,718,14,1
0,53793,667,14,0
1,86570,597,5,1
1,67892,767,11,1
0,31015,736,19,1
1,91813,808,17,1
1,57712,672,13,0
1,38415,689,1,0
1,92292,621,8,1
1,53833,545,4,0
0,34158,563,19,1
1,92680,629,0,1
0,50309,809,2,1
0,36970,692,5,0
1,102474,806,4,1
0,116704,680,4,0
0,76540,791,0,1
0,50384,781,16,0
1,48017,528,18,0
1,105880,648,13,1
0,38702,766,11,0
1,30384,795,9,1
1,30404,510,19,1
1,70943,663,17,1
1,77926,612,10,1
0,59189,686,1,0
0,42763,794,17,0
1,48384,731,6,0
1,90100,726,14,1
0,39860,809,10,1
0,110642,597,17,0
1,80612,554,11,1
0,53574,610,5,0
1,53524,651,19,1
1,99172,745,12,1
0,40916,568,19,0
0,34809,811,15,0
1,62201,788,17,1
1,83330,749,9,0
0,43456,535,7,0
1,86397,738,17,1
0,68765,647,0,0
1,64816,726,7,1
0,75106,743,5,0
0,83932,836,4,1
0,47100,700,14,0
1,87091,653,14,1
1,51949,572,1,0
0,100080,700,0,0
1,67744,795,10,1
0,75543,516,9,0
0,66187,628,17,1
1,37239,716,17,0
1,44489,560,16,0
0,88017,603,7,0
1,91877,541,14,1
1,73125,524,7,1
0,79922,538,16,0
0,62049,790,11,0
1,67131,630,7,0
0,72944,728,13,1
0,103963,607,3,0
1,54285,671,0,1
0,67626,601,0,1
0,72808,511,18,1
1,118464,774,15,1
1,83871,600,13,1
0,49198,543,15,0
0,49758,804,4,0
1,45254,516,8,1
1,74238,829,1,1
1,31252,556,17,0
1,69764,810,5,1
0,107709,802,8,1
1,67441,511,0,0
1,83682,817,8,1
0,89494,579,15,0
1,111317,715,12,1
0,95215,838,8,0
1,108587,763,12,1
1,36949,648,8,0
1,85393,580,10,1
0,103553,714,3,0
0,36941,697,1,1
1,55934,699,5,1
0,53386,524,13,1
0,91886,588,3,1
0,105745,767,5,0
0,113251,642,18,0
0,83413,558,5,1
0,86800,525,1,1
1,72318,546,17,1
1,100173,787,12,0
0,100390,765,8,0
1,82329,515,18,1
1,73088,698,12,1
1,69811,781,10,1
1,85479,585,0,1
0,115392,749,6,0
1,117369,769,14,0
1,49963,834,0,1
0,85123,616,11,0
0,103477,506,6,0
1,44388,636,14,1
1,35569,675,18,1
1,99836,827,0,1
1,66586,814,16,1
1,42015,714,16,0
1,75002,581,2,1
0,36254,722,11,0
1,47144,602,5,1
1,54214,772,10,0
0,110719,513,2,1
0,101774,658,7,0
0,36090,651,13,0
0,41637,607,13,1
1,52415,687,9,1
1,54071,800,1,1
1,88243,597,13,1
1,71240,630,8,1
1,113807,792,2,1
1,63434,670,7,0
0,99724,682,15,1
1,105697,538,1,0
0,58732,514,5,1
0,41314,503,11,1
1,53954,848,4,1
0,87108,709,1,1
1,117044,660,15,0
0,117505,515,4,0
1,66668,607,14,1
0,53061,810,11,1
1,109252,726,3,0
1,69749,669,14,1
1,46907,533,10,0
1,48777,750,15,0
1,81745,746,5,1
0,111818,768,13,0
0,53624,640,17,0
0,53321,773,11,0
1,40488,595,10,1
0,52574,726,12,1
1,35240,538,10,1
1,73221,801,15,0
0,40478,528,14,0
0,85645,817,14,0
1,49262,744,3,1
0,82796,735,10,0
1,34432,684,18,1
1,94291,771,14,1
1,109104,735,3,0
1,89399,738,12,1
1,109714,765,18,1
0,80428,839,1,1
0,117731,564,13,0
1,30302,676,3,1
1,112558,502,15,1
0,30055,641,19,1
0,38717,657,13,1
1,58699,823,14,1
0,103686,645,2,0
1,97661,792,7,1
0,74247,652,15,0
1,46748,692,9,1
0,34621,572,3,0
1,45034,804,17,0
0,35126,843,1,1
0,35122,639,16,0
1,48030,686,12,1
0,112838,792,3,0
1,114717,560,10,1
0,85658,697,6,0
1,68638,794,11,0
0,97067,818,9,0
1,118869,801,6,1
0,64674,843,12,1
1,65854,510,6,1
0,76271,561,16,1
1,103688,832,9,1
1,68518,725,9,0
1,40267,652,3,1
0,31062,698,19,0
1,80448,551,3,0
0,36229,759,6,1
1,86793,558,0,1
0,77915,571,11,1
1,34632,647,12,1
0,33596,848,9,0
0,36168,562,14,0
1,37561,809,12,1
0,103794,742,8,1
0,112152,829,8,1
1,56734,606,14,0
0,36371,725,9,1
0,56069,812,9,0
0,109905,717,7,0
1,42910,740,15,1
0,103479,758,16,1
1,107735,761,4,1
0,111264,504,3,0
0,53275,760,17,0
0,102274,553,18,1
1,111449,546,3,0
0,90004,714,6,0
0,92981,676,9,1
1,114659,508,17,0
0,84553,598,18,1
1,78447,519,3,0
1,64529,740,9,0
0,105703,560,0,1
1,106090,677,17,1
0,47260,837,4,0
1,33812,561,14,1
1,58024,644,16,0
0,88656,715,2,1
1,57285,502,11,1
1,31605,659,1,1
1,101158,726,0,1
1,102303,768,16,1
1,57139,619,15,1
0,107149,588,4,1
1,86138,828,14,0
0,106125,567,2,0
1,43918,597,6,1
0,115655,766,10,1
0,57446,604,9,1
1,43046,822,8,1
1,54818,622,13,1
1,34324,528,12,0
0,106323,636,1,0
1,39111,694,2,1
0,68110,725,6,1
0,46389,831,17,0
0,71427,669,2,1
1,109579,508,9,1
1,58746,539,6,1
0,117886,524,8,1
0,30117,760,16,1
1,114471,725,10,1
0,43234,623,6,0
1,83441,537,13,1
0,30846,827,18,0
1,40954,750,3,1
0,109239,675,5,0
1,76514,589,9,1
0,118236,536,6,1
1,36469,815,12,1
1,60105,675,13,0
0,72101,783,3,0
0,94323,580,7,0
1,88067,613,4,0
0,79376,539,0,0
1,75587,800,3,0
0,66976,723,2,0
1,97584,817,8,0
1,108477,848,7,1
1,72533,614,0,0
1,31828,685,5,1
1,31917,822,8,1
1,50618,555,6,1
0,62254,539,3,0
0,77362,539,12,0
0,50128,846,16,0
1,89383,736,1,1
1,95545,788,4,1
1,112180,761,11,0
1,117958,715,7,1
0,39865,646,5,1
0,32219,835,7,0
1,69809,667,17,1
0,35287,591,2,1
0,64387,558,11,0
1,38512,558,2,1
0,31342,803,5,1
1,93076,668,1,0
0,49216,768,11,0
1,109767,544,1,0
1,56614,844,5,0
1,66258,680,16,1
1,72078,669,2,1
0,113524,690,1,1
1,42219,654,19,1
1,30235,687,7,1
1,72929,506,11,1
0,97444,632,3,0
1,38567,734,4,1
0,100792,544,12,1
1,95441,813,14,1
0,114555,748,15,1
0,103698,530,9,0
1,35415,522,15,1
0,66159,659,11,1
1,73925,657,16,1
1,35951,538,15,1
1,117388,581,11,1
0,38007,757,7,1
0,71832,705,19,0
1,88596,576,2,0
1,60523,511,15,0
